name,email,phone,job,address,username,url,hobby,len
"[{'entity_type': 'PERSON', 'start': 0, 'end': 10, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}]","[{'entity_type': 'EMAIL_ADDRESS', 'start': 0, 'end': 20, 'score': 1.0, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'EmailRecognizer', 'recognizer_identifier': 'EmailRecognizer_4428484512'}}, {'entity_type': 'URL', 'start': 11, 'end': 20, 'score': 0.5, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'UrlRecognizer', 'recognizer_identifier': 'UrlRecognizer_4430845968'}}]","[{'entity_type': 'PHONE_NUMBER', 'start': 0, 'end': 15, 'score': 0.4, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'PhoneRecognizer', 'recognizer_identifier': 'PhoneRecognizer_4430843664'}}]",[],[],[],[],[],[]
"[{'entity_type': 'PERSON', 'start': 0, 'end': 11, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}]","[{'entity_type': 'EMAIL_ADDRESS', 'start': 0, 'end': 27, 'score': 1.0, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'EmailRecognizer', 'recognizer_identifier': 'EmailRecognizer_4428484512'}}, {'entity_type': 'URL', 'start': 0, 'end': 8, 'score': 0.5, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'UrlRecognizer', 'recognizer_identifier': 'UrlRecognizer_4430845968'}}, {'entity_type': 'URL', 'start': 16, 'end': 27, 'score': 0.5, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'UrlRecognizer', 'recognizer_identifier': 'UrlRecognizer_4430845968'}}]","[{'entity_type': 'PHONE_NUMBER', 'start': 0, 'end': 15, 'score': 0.4, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'PhoneRecognizer', 'recognizer_identifier': 'PhoneRecognizer_4430843664'}}]",[],[],[],[],[],[]
"[{'entity_type': 'PERSON', 'start': 0, 'end': 12, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}]","[{'entity_type': 'EMAIL_ADDRESS', 'start': 0, 'end': 23, 'score': 1.0, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'EmailRecognizer', 'recognizer_identifier': 'EmailRecognizer_4428484512'}}, {'entity_type': 'URL', 'start': 16, 'end': 23, 'score': 0.5, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'UrlRecognizer', 'recognizer_identifier': 'UrlRecognizer_4430845968'}}]","[{'entity_type': 'DATE_TIME', 'start': 4, 'end': 14, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}]",[],[],[],"[{'entity_type': 'URL', 'start': 0, 'end': 27, 'score': 0.6, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'UrlRecognizer', 'recognizer_identifier': 'UrlRecognizer_4430845968'}}]",[],"[{'entity_type': 'LOCATION', 'start': 0, 'end': 3, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}]"
"[{'entity_type': 'PERSON', 'start': 0, 'end': 14, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}]","[{'entity_type': 'EMAIL_ADDRESS', 'start': 0, 'end': 27, 'score': 1.0, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'EmailRecognizer', 'recognizer_identifier': 'EmailRecognizer_4428484512'}}, {'entity_type': 'URL', 'start': 16, 'end': 27, 'score': 0.5, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'UrlRecognizer', 'recognizer_identifier': 'UrlRecognizer_4430845968'}}]","[{'entity_type': 'PHONE_NUMBER', 'start': 0, 'end': 15, 'score': 0.4, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'PhoneRecognizer', 'recognizer_identifier': 'PhoneRecognizer_4430843664'}}]",[],[],[],[],[],[]
"[{'entity_type': 'PERSON', 'start': 0, 'end': 12, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}]","[{'entity_type': 'EMAIL_ADDRESS', 'start': 5, 'end': 24, 'score': 1.0, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'EmailRecognizer', 'recognizer_identifier': 'EmailRecognizer_4428484512'}}, {'entity_type': 'URL', 'start': 13, 'end': 24, 'score': 0.5, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'UrlRecognizer', 'recognizer_identifier': 'UrlRecognizer_4430845968'}}]","[{'entity_type': 'PHONE_NUMBER', 'start': 0, 'end': 12, 'score': 0.4, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'PhoneRecognizer', 'recognizer_identifier': 'PhoneRecognizer_4430843664'}}]",[],[],[],[],[],[]
"[{'entity_type': 'PERSON', 'start': 0, 'end': 13, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}]","[{'entity_type': 'EMAIL_ADDRESS', 'start': 0, 'end': 25, 'score': 1.0, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'EmailRecognizer', 'recognizer_identifier': 'EmailRecognizer_4428484512'}}, {'entity_type': 'URL', 'start': 14, 'end': 25, 'score': 0.5, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'UrlRecognizer', 'recognizer_identifier': 'UrlRecognizer_4430845968'}}]","[{'entity_type': 'PHONE_NUMBER', 'start': 0, 'end': 15, 'score': 0.4, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'PhoneRecognizer', 'recognizer_identifier': 'PhoneRecognizer_4430843664'}}]",[],[],[],[],[],[]
"[{'entity_type': 'PERSON', 'start': 0, 'end': 14, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}]","[{'entity_type': 'EMAIL_ADDRESS', 'start': 0, 'end': 28, 'score': 1.0, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'EmailRecognizer', 'recognizer_identifier': 'EmailRecognizer_4428484512'}}, {'entity_type': 'URL', 'start': 17, 'end': 28, 'score': 0.5, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'UrlRecognizer', 'recognizer_identifier': 'UrlRecognizer_4430845968'}}]","[{'entity_type': 'DATE_TIME', 'start': 4, 'end': 14, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}]",[],"[{'entity_type': 'DATE_TIME', 'start': 0, 'end': 4, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}, {'entity_type': 'PERSON', 'start': 5, 'end': 17, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}]",[],"[{'entity_type': 'URL', 'start': 17, 'end': 29, 'score': 0.5, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'UrlRecognizer', 'recognizer_identifier': 'UrlRecognizer_4430845968'}}]",[],[]
"[{'entity_type': 'PERSON', 'start': 0, 'end': 15, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}]","[{'entity_type': 'EMAIL_ADDRESS', 'start': 0, 'end': 25, 'score': 1.0, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'EmailRecognizer', 'recognizer_identifier': 'EmailRecognizer_4428484512'}}, {'entity_type': 'URL', 'start': 0, 'end': 9, 'score': 0.5, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'UrlRecognizer', 'recognizer_identifier': 'UrlRecognizer_4430845968'}}, {'entity_type': 'URL', 'start': 16, 'end': 25, 'score': 0.5, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'UrlRecognizer', 'recognizer_identifier': 'UrlRecognizer_4430845968'}}]","[{'entity_type': 'PHONE_NUMBER', 'start': 0, 'end': 14, 'score': 0.4, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'PhoneRecognizer', 'recognizer_identifier': 'PhoneRecognizer_4430843664'}}]",[],"[{'entity_type': 'LOCATION', 'start': 5, 'end': 24, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}]",[],[],[],[]
"[{'entity_type': 'PERSON', 'start': 0, 'end': 18, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}]","[{'entity_type': 'EMAIL_ADDRESS', 'start': 0, 'end': 25, 'score': 1.0, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'EmailRecognizer', 'recognizer_identifier': 'EmailRecognizer_4428484512'}}, {'entity_type': 'URL', 'start': 18, 'end': 25, 'score': 0.5, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'UrlRecognizer', 'recognizer_identifier': 'UrlRecognizer_4430845968'}}]","[{'entity_type': 'DATE_TIME', 'start': 6, 'end': 14, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}, {'entity_type': 'PHONE_NUMBER', 'start': 0, 'end': 14, 'score': 0.4, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'PhoneRecognizer', 'recognizer_identifier': 'PhoneRecognizer_4430843664'}}]",[],"[{'entity_type': 'PERSON', 'start': 2, 'end': 10, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}]",[],[],[],[]
"[{'entity_type': 'PERSON', 'start': 0, 'end': 12, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}]","[{'entity_type': 'EMAIL_ADDRESS', 'start': 0, 'end': 22, 'score': 1.0, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'EmailRecognizer', 'recognizer_identifier': 'EmailRecognizer_4428484512'}}, {'entity_type': 'URL', 'start': 13, 'end': 22, 'score': 0.5, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'UrlRecognizer', 'recognizer_identifier': 'UrlRecognizer_4430845968'}}]","[{'entity_type': 'PHONE_NUMBER', 'start': 0, 'end': 15, 'score': 0.4, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'PhoneRecognizer', 'recognizer_identifier': 'PhoneRecognizer_4430843664'}}]",[],"[{'entity_type': 'DATE_TIME', 'start': 0, 'end': 5, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}]","[{'entity_type': 'LOCATION', 'start': 0, 'end': 8, 'score': 0.85, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'SpacyRecognizer', 'recognizer_identifier': 'SpacyRecognizer_4430135152'}}]","[{'entity_type': 'URL', 'start': 0, 'end': 36, 'score': 0.6, 'analysis_explanation': None, 'recognition_metadata': {'recognizer_name': 'UrlRecognizer', 'recognizer_identifier': 'UrlRecognizer_4430845968'}}]",[],[]
