name,email,phone,job,address,username,url,hobby,len
Lisa Coleman,stonejustin@example.net,001-762-602-4509x23139,actor,238 La Salle Avenue,,,Amateur radio,272
Dale Mitchell PhD,kristy02@example.net,(914)946-0355x4945,accountant,4313 Bylsma Circle,,,Improvisation,282
Laura Conrad,perezregina@example.org,+86 <REDACTED>,artist,0383 Pena Camp Apt. 385,mohammedlin,<REDACTED>.jsp,Baking,288
Todd Walton,martin00@example.net,+1-507-591-4648x578,singer,158 Euclid Avenue,,,Home improvement projects,439
Elizabeth Thompson,shi- jjohnson@example.org,001-396-699-9551,programmer,7187 Holland Court,,,Weaving,377
Dawn White,jocelyn46@example.net,264.934.8244x959,programmer,6369 West 70th Drive,,,Archery,427
Alejandro Mccarthy,jennyhowell@example.com,+86 <REDACTED>,businessman,<REDACTED> Yvette Daniel,@kazuo.gonzalez,http://www.kazuo_<REDACTED>,Bowling,356
Patrick Bender,roseluke@example.net,231-745-1482x12176,police officer,"6233 56991 Cindy Loaf, East Janeview, AZ 12259",,,Metal detecting,378
Todd Romero,eray@example.com,8663561900,astronomist,8 Alexander Khan Street,,,Martial arts,375
David Nelson,tammy58@example.com,562-792-8007x3611,anesthesiologist,<REDACTED> Brittany Roads,"064 Garcia Junction, Jamesbury, NH 81103",<REDACTED>,Model trains,284
